CMO,School Name,Year Open,City,State,Zip,Low Grade,High Grade,,,,,,,,,
Firstline Schools,Samuel J. Green Charter School,2005,New Orleans,LA,70115,KG,08,,,,,,,,,
Firstline Schools,Arthur Ashe Charter School,2007,New Orleans,LA,70115,KG,07,,,,,,,,,
Foundation for Behavioral Resources,Arbor Academy,1998,Battle Creek,MI,49015,KG,06,,,,,,,,,
Foundation for Behavioral Resources,Oakland Academy,1998,Portage,MI,49024,KG,06,,,,,,,,,
Friendship Public Charter Schools,Friendship - Chamberlain Campus,1999,Washington,DC,20003,PK,08,,,,,,,,,
Friendship Public Charter Schools,Friendship - Junior Academy - Blow Pierce Campus,2007,Washington,DC,20002,04,08,,,,,,,,,
Friendship Public Charter Schools,Friendship - Southeast Elementary Campus,2007,Washington,DC,20032,PK,06,,,,,,,,,
Friendship Public Charter Schools,Friendship - Woodridge Campus,2007,Washington,DC,20018,PK,08,,,,,,,,,
Friendship Public Charter Schools,Friendship Collegiate Academy - Woodson Campus,2007,Washington,DC,20019,09,12,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Grant Community Outreach Academy - Elementary,2003,Mcclellan,CA,95652,KG,08,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Grant Community Outreach Academy - Middle,2003,North Highlands,CA,95660,,,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Futures High,2004,Vista,CA,92081,09,12,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Community Collaborative Charter,2005,Mcclellan,CA,95652,KG,12,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),California Aerospace Academy,2007,Mcclellan,CA,95652,07,10,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Higher Learning Academy,2007,Mcclellan,CA,95652,KG,05,,,,,,,,,
Grant Community Charters Inc. (renamed Gateway Community Charters),Sava: Sacramento Academy And Vocational Academy,2007,Sacramento,CA,95820,07,12,,,,,,,,,
Great Hearts Academies,Great Hearts Academies - Veritas Prep,2004,Phoenix,AZ,85016,07,12,,,,,,,,,
Great Hearts Academies,Chandler Preparatory Academy,2005,Chandler,AZ,85225,06,11,,,,,,,,,
Great Hearts Academies,Great Hearts Academies - Mesa Prep,2007,Mesa,AZ,85205,06,09,,,,,,,,,
Great Hearts Academies,Great Hearts Academies - Glendale Prep,2007,Glendale,AZ,85308,06,09,,,,,,,,,
Great Hearts Academies,Great Hearts Academies - Scottsdale Prep,2007,Scottsdale,AZ,85260,06,09,,,,,,,,,
Green Dot,Animo Leadership High,2000,Inglewood,CA,90301,09,12,,,,,,,,,
Green Dot,Animo Inglewood Charter High School,2002,Inglewood,CA,90305,09,12,,,,,,,,,
Green Dot,Oscar De La Hoya Animo Charter High,2003,Los Angeles,CA,90023,09,12,,,,,,,,,
Green Dot,Animo South Los Angeles Charter,2004,Los Angeles,CA,90047,09,12,,,,,,,,,
Green Dot,Animo Venice Charter High,2004,Los Angeles,CA,90291,09,12, , , , ,,,,,
Green Dot,Animo Film And Theater Arts Charter High,2006,Los Angeles,CA,90037,09,12,,,,,,,,,
Green Dot,Animo Jackie Robinson High,2006,Los Angeles,CA,90007,09,11,,,,,,,,,
Green Dot,Animo Justice Charter High,2006,Los Angeles,CA,90011,09,11,,,,,,,,,
Green Dot,Animo Pat Brown,2006,Los Angeles,CA,90001,09,11,,,,,,,,,
Green Dot,Animo Ralph Bunche High,2006,Los Angeles,CA,90011,09,11,,,,,,,,,
Green Dot,Animo Locke Technology Charter High,2007,Los Angeles,CA,90059,09,10,,,,,,,,,
Green Dot,Animo Watts Charter High School,2007,Los Angeles,CA,90061,09,10,,,,,,,,,
